Community,number_families,%family_children_under18,number_persons_household,number_persons_family,%moved_last_5yrs,%married_couple_family,%single_parent_family,%single_person,%non_family,%seniors_live_alone
Aleppo,334,39,2.67,2.98,45,74,8,15,5,12
Allegheny Center,274,31,1.63,2.68,58,18,10,61,5,50
Allegheny County,386898,44.2,2.63,3.19,33.6,57.4,14.1,25.2,3.2,27.9
Allegheny West,128,24,1.47,2.47,46,31,35,30,4,61
Allentown,1086,48,2.66,3.22,37,50,21,26,3,32
Arlington,732,44,2.9,3.39,29,61,16,21,2,29
Arlington Heights,436,91,3.06,3.41,51,13,70,16,1,58
Aspinwall,883,35,2.26,2.99,37,49,12,36,4,32
Avalon,1666,38,2.32,3.06,45,47,14,35,3,37.9
Baldwin Borough,7010,47,2.9,3.27,26,71,11,16,1,20
Baldwin Township,780,48,2.96,3.25,23,77,11,13,1,19
Banksville,1389,36,2.34,3.06,38,50,10,31,8,17
Bedford Dwellings,757,56,2.63,3.22,25,21,50,27,2,31
Beechview,2828,47,2.81,3.29,31,60,16,21,3,23
Bell Acres,401,42,2.9,3.1,33,84,6,10,1,16
Bellevue,2620,36,2.17,2.97,46,43,13,40,4,39
Beltzhoover,1099,46,2.82,3.35,33,46,28,23,3,26
Ben Avon,644,45,2.78,3.2,41,61,13,19,2,28
Ben Avon Heights,119,52,2.84,3.15,26,81,4,14,1,23
Bethel Park,9569,52,2.98,3.37,36,74,9,16,2,22
Blawnox,447,38,2.34,3.04,36,48,14,32,4,30
Bloomfield,2847,32,2.13,2.97,39,37,15,41,8,32
Bluff,331,32,2.01,2.97,71,18,17,50,15,34
Bon Air,2436,35,2.7,3.1,21,68,13,19,0,24
Brackenridge,1194,39,2.47,3.04,26,57,14,28,2,30
Braddock,1438,44,2.42,3.19,38,33,29,35,3,35
Braddock Hills,701,37,2.29,3,32,48,15,36,1,42
Bradford Woods,352,57,3.22,4.46,41,83,6,10,0,25
Brentwood,3338,40,2.54,3.11,31,60,11,27,2,30
Bridgeville,1724,36,2.4,3.04,33,59,11,29,2,34
Brighton Heights,2436,35,3.07,3.14,21,53,18,25,3,23
Brookline,4700,40,2.75,3.2,22,62,15,20,2,24
California-Kirkbride,444,57,3.04,3.68,41,35,36,24,4,11
Carnegie,2783,37,2.38,3.03,34,52,14,32,3,31
