validated,venue_name,venue_type,venue_address,website,events,etc,menu_url,menu_text,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude
False,Holy Cross (Reilly Center),Church,"7100 West Ridge Road, Fairview, PA",https://www.holycrossfairview.org,,,,No Fish Fry at this time,,814-474-2605,,,,,,,False,,42.03971,-80.245022
True,Hartford Heights Volunteer Fire Department,Fire Department,"14335 U.S. 30, Irwin, PA 15642",https://www.facebook.com/Hartford-Heights-VFD-336938100039050/,"Friday Feb 19 from 4:00 PM to 8:00 PM, Friday Feb 26 from 4:00 PM to 8:00 PM, Friday Mar 5 from 4:00 PM to 8:00 PM, Friday Mar 12 from 4:00 PM to 8:00 PM, Friday Mar 19 from 4:00 PM to 8:00 PM, Friday Mar 26 from 4:00 PM to 8:00 PM",,,,,412-824-9972,,False,True,,False,,True,,40.352969,-79.767295
True,"Our Lady of Joy, Holiday Park",Church,"2000 O'Block Road Holiday Park, PA",https://holyfamilypgh.org/,"Wednesday Feb 17 from 4:00 PM to 7:00 PM, Friday Feb 19 from 4:00 PM to 7:00 PM, Friday Feb 26 from 4:00 PM to 7:00 PM, Friday Mar 5 from 4:00 PM to 7:00 PM, Friday Mar 12 from 4:00 PM to 7:00 PM, Friday Mar 19 from 4:00 PM to 7:00 PM, Friday Mar 26 from 4:00 PM to 7:00 PM, Friday Apr 2 from 4:00 PM to 7:00 PM",Lunch is 11am-1pm.,,"Menu: beer battered, fried/baked or gluten free fish, tuna salad croissant.
Dinners cost $12 and include: bun, salad or coleslaw and a choice of one of the following:
fries, mac & cheese or haluski.",,412-828-9846,,False,True,,False,,True,,40.480007,-79.719563
True,St. John Benwood,Church,"700 Main Street, Benwood, West Virginia 26031, United States",https://www.facebook.com/stjohnparishbenwoodwv/,"Friday Feb 26 from 11:00 AM to 6:00 PM, Friday Mar 5 from 11:00 AM to 6:00 PM, Friday Mar 12 from 11:00 AM to 6:00 PM, Friday Mar 19 from 11:00 AM to 6:00 PM, Friday Mar 26 from 11:00 AM to 6:00 PM",,https://www.facebook.com/stjohnparishbenwoodwv/photos/a.663292390724075/1358583001195007/,,St John Benwood Fellowship Hall,304-905-8036,,False,True,,True,,True,,40.016004,-80.734844
True,Historic Church of St. Peter,Church,"118 Church Street, Brownsville, Pennsylvania 15417, United States",http://www.stpeterstcecilia.org/home-2,"Wednesday Feb 17 from 11:00 AM to 2:00 PM, Wednesday Feb 17 from 4:00 PM to 7:00 PM, Friday Feb 19 from 11:00 AM to 2:00 PM, Friday Feb 19 from 4:00 PM to 7:00 PM, Friday Feb 26 from 11:00 AM to 2:00 PM, Friday Feb 26 from 4:00 PM to 7:00 PM, Friday Mar 5 from 11:00 AM to 2:00 PM, Friday Mar 5 from 4:00 PM to 7:00 PM, Friday Mar 12 from 11:00 AM to 2:00 PM, Friday Mar 12 from 4:00 PM to 7:00 PM, Friday Mar 19 from 11:00 AM to 2:00 PM, Friday Mar 19 from 4:00 PM to 7:00 PM, Friday Mar 26 from 11:00 AM to 2:00 PM, Friday Mar 26 from 4:00 PM to 7:00 PM, Friday Apr 2 from 11:00 AM to 2:00 PM, Friday Apr 2 from 4:00 PM to 7:00 PM",,http://www.stpeterstcecilia.org/bulletins,See menu link,,724-364-7070,,True,True,,True,,True,,40.023986,-79.881267
True,St. Mary of the Mount Church ,Church,"131 Bigham Street, Pittsburgh, Pennsylvania 15211, United States",https://princeofpeacepittsburgh.com/,,,https://princeofpeacepittsburgh.com/documents/2021/2/Fish%20Fry%2020212.pdf,See menu link,"Starting Friday, February 19. Lunch bag served 11AM - 3PM. Dinner served 3:30PM - 7:30PM. Order ahead of time online, or by calling 412-390-4011. ",412-390-4011,,False,True,True,False,True,True,,40.434944,-80.014343
True,Bridgeville Volunteer Fire Department,Fire Department,"370 Commercial Street, Bridgeville, PA",,"Friday Feb 19 from 4:00 PM to 7:00 PM, Friday Mar 5 from 4:00 PM to 7:00 PM, Friday Mar 19 from 4:00 PM to 7:00 PM, Friday Apr 2 from 4:00 PM to 7:00 PM",,,,,412-221-1711,,,True,,False,,True,,40.362,-80.106939
True,Bobtown and Dunkard Twp Volunteer Fire,Fire Department,"1 Larimer Ave, Bobtown, Pa 15315",https://www.facebook.com/Bobtown-Dunkard-Township-Volunteer-Fire-Company-186206404761913/?tn-str=k*F,"Wednesday Feb 17 from 11:00 AM to 7:00 PM, Friday Feb 19 from 11:00 AM to 7:00 PM, Friday Feb 26 from 11:00 AM to 7:00 PM, Friday Mar 5 from 11:00 AM to 7:00 PM, Friday Mar 12 from 11:00 AM to 7:00 PM, Friday Mar 19 from 11:00 AM to 7:00 PM, Friday Mar 26 from 11:00 AM to 7:00 PM, Friday Apr 2 from 11:00 AM to 7:00 PM",As of now there will be only local deliveries and carry out. Prices on the menu are subject to change. We will also have a rummage sale in our hall with all kinds of items! Hope to see you there!/Thank you for your continued support!,https://www.facebook.com/186206404761913/photos/a.638412672874615/3614467581935761/,See menu link,,724-839-7140,,False,True,False,True,,True,,39.759173,-79.980159
True,Tower Restaurant,Restaurant,"680 W Chestnut St, Washington, PA 15301",https://www.facebook.com/towerrestaurantwashington/,,Friday Lenten specials available,,,,724-222-5952,,,True,,True,,True,,40.169556,-80.260334
True,Manor Volunteer Fire Department,Fire Department,"44 Main St, Manor, PA 15665",http://manorvfd.org,,,http://manorvfd.org/custom.html?id=24719,See menu link,,xxx-xxx-xxxx,,,True,,,,True,,40.332919,-79.668822
